Edad	Dm	thinning	varname	zone	cal
1	0.0144556104199449	M8	Dm	1	16
2	0.574067348259549	M8	Dm	1	16
3	2.11173151292958	M8	Dm	1	16
4	4.14986546848009	M8	Dm	1	16
5	6.29302901933072	M8	Dm	1	16
6	8.35586076628563	M8	Dm	1	16
7	10.268111477558	M8	Dm	1	16
8	12.0119923935445	M8	Dm	1	16
9	13.5919741726335	M8	Dm	1	16
10	15.0210839940498	M8	Dm	1	16
11	16.3148115405597	M8	Dm	1	16
12	17.4884780303214	M8	Dm	1	16
13	18.5561853640383	M8	Dm	1	16
14	19.5304838197517	M8	Dm	1	16
15	20.4223587689208	M8	Dm	1	16
16	21.2413495197463	M8	Dm	1	16
17	21.9957131027614	M8	Dm	1	16
18	22.6925932681003	M8	Dm	1	16
19	23.3381777129841	M8	Dm	1	16
20	23.93783741505	M8	Dm	1	16
21	24.4962470082732	M8	Dm	1	16
22	25.0174873609672	M8	Dm	1	16
23	25.5051323566357	M8	Dm	1	16
24	25.9623220630092	M8	Dm	1	16
25	26.3918243638593	M8	Dm	1	16
26	26.7960869010371	M8	Dm	1	16
27	27.1772809171342	M8	Dm	1	16
28	27.537338341939	M8	Dm	1	16
29	27.877983244654	M8	Dm	1	16
30	28.2007585833329	M8	Dm	1	16
31	28.5070490224524	M8	Dm	1	16
32	28.7981004559818	M8	Dm	1	16
33	29.0750367630164	M8	Dm	1	16
34	29.3388742323455	M8	Dm	1	16
35	29.5905340178707	M8	Dm	1	16
35	0	M8	Dm	1	16
